Language,ID,Psychoticism,Extraversion,Neuroticism,Lie
UK-English,1986,0,2,12,6
UK-English,1987,2,8,3,9
UK-English,1988,1,11,4,6
UK-English,1989,0,9,1,6
UK-English,1990,0,4,10,7
UK-English,1991,2,12,10,4
UK-English,1992,1,2,12,1
UK-English,1993,0,9,9,11
UK-English,1994,0,10,4,3
UK-English,1995,0,9,11,7
UK-English,1996,0,11,5,2
UK-English,1997,1,8,10,7
UK-English,1998,0,9,9,9
UK-English,1999,0,9,6,8
UK-English,2000,0,9,7,4
UK-English,2001,0,6,10,2
UK-English,2002,0,8,8,4
UK-English,2003,3,12,9,5
UK-English,2004,0,9,12,0
UK-English,2005,0,7,1,2
UK-English,2006,0,9,5,8
UK-English,2007,0,2,7,5
UK-English,2008,0,9,1,6
UK-English,2009,0,4,6,2
UK-English,2010,2,6,4,5
UK-English,2011,0,0,7,7
UK-English,2012,1,5,9,5
UK-English,2013,0,12,8,5
UK-English,2014,0,11,8,4
UK-English,2015,0,6,10,0
UK-English,2016,4,2,7,5
UK-English,2017,0,8,7,6
UK-English,2018,1,12,1,4
UK-English,2019,1,11,3,3
UK-English,2020,0,11,2,6
UK-English,2021,3,10,7,1
UK-English,2022,1,11,4,2
UK-English,2023,0,5,11,4
UK-English,2024,0,3,10,4
UK-English,2025,0,7,6,4
UK-English,2026,0,10,4,9
UK-English,2027,0,1,9,6
UK-English,2028,2,5,6,4
UK-English,2029,0,2,10,10
UK-English,2030,1,3,3,7
UK-English,2031,0,6,11,6
UK-English,2032,1,8,2,2
UK-English,2033,0,10,7,7
UK-English,2034,0,10,11,5
UK-English,2035,0,6,7,5
UK-English,2036,1,12,10,7
UK-English,2037,0,6,8,8
UK-English,2038,0,8,5,6
UK-English,2039,0,9,6,5
UK-English,2040,0,6,7,6
UK-English,2041,0,11,3,2
UK-English,2042,1,0,10,0
UK-English,2043,1,12,6,10
UK-English,2044,0,3,6,3
UK-English,2045,1,7,10,0
UK-English,2046,0,1,1,4
UK-English,2047,2,5,10,5
UK-English,2048,1,10,3,8
UK-English,2049,1,8,9,4
UK-English,2050,1,1,2,11
UK-English,2051,0,3,9,7
UK-English,2052,1,9,6,4
UK-English,2053,1,12,2,7
UK-English,2054,0,12,0,2
UK-English,2055,0,6,6,7
UK-English,2056,0,1,11,3
UK-English,2057,0,4,10,4
UK-English,2058,0,5,11,8
UK-English,2059,1,4,3,5
UK-English,2060,0,10,6,9
UK-English,2061,0,10,7,6
UK-English,2062,0,9,10,4
UK-English,2063,0,11,4,5
UK-English,2064,0,4,7,7
UK-English,2065,1,7,1,8
UK-English,2066,1,10,7,8
UK-English,2067,0,10,7,3
UK-English,2068,0,9,2,1
UK-English,2069,0,11,8,3
UK-English,2070,0,12,3,3
UK-English,2071,1,9,6,7
UK-English,2072,2,9,7,8
UK-English,2073,0,6,5,2
UK-English,2074,0,9,5,3
UK-English,2075,0,7,6,8
UK-English,2076,1,11,1,3
UK-English,2077,0,9,3,6
UK-English,2078,0,6,5,6
UK-English,2079,1,9,4,5
UK-English,2080,0,7,11,2
UK-English,2081,0,2,4,9
UK-English,2082,0,6,9,6
UK-English,2083,3,11,8,6
UK-English,2084,0,6,6,6
UK-English,2085,0,1,11,5
UK-English,2086,0,10,7,5
UK-English,2087,0,10,6,6
UK-English,2088,1,7,5,5
UK-English,2089,2,12,2,8
UK-English,2090,1,7,10,9
UK-English,2091,2,12,8,7
UK-English,2092,1,9,1,9
UK-English,2093,0,6,9,4
UK-English,2094,1,12,7,1
UK-English,2095,1,11,5,7
UK-English,2096,3,10,5,4
UK-English,2097,2,11,4,5
UK-English,2098,0,3,9,7
UK-English,2099,0,4,12,5
UK-English,2100,0,6,10,3
UK-English,2101,0,7,3,5
UK-English,2102,1,7,9,2
UK-English,2103,1,8,3,7
UK-English,2104,0,12,0,5
UK-English,2105,0,0,10,7
UK-English,2106,2,11,3,3
UK-English,2107,0,3,9,4
UK-English,2108,0,7,6,5
UK-English,2109,0,2,7,5
UK-English,2110,0,5,8,6
UK-English,2111,0,3,9,9
UK-English,2112,0,8,4,6
UK-English,2113,1,2,5,6
UK-English,2114,0,4,10,6
UK-English,2115,1,11,1,8
UK-English,2116,0,8,4,8
UK-English,2117,1,2,4,4
UK-English,2118,0,12,6,2
UK-English,2119,1,3,6,6
UK-English,2120,0,10,4,5
UK-English,2121,1,4,3,6
UK-English,2122,1,9,2,7
UK-English,2123,0,6,4,3
UK-English,2124,0,5,10,7
UK-English,2125,1,0,8,3
UK-English,2126,0,11,1,5
UK-English,2127,1,2,7,7
UK-English,2128,0,9,10,7
UK-English,2129,0,10,8,7
UK-English,2130,2,10,3,4
UK-English,2131,0,11,3,3
UK-English,2132,0,6,3,7
UK-English,2133,1,2,9,4
UK-English,2134,0,5,8,3
UK-English,2135,0,10,1,7
UK-English,2136,2,9,2,4
UK-English,2137,2,10,4,7
UK-English,2138,0,11,5,1
UK-English,2139,0,10,6,9
UK-English,2140,1,2,4,8
UK-English,2141,0,8,1,9
UK-English,2142,1,10,2,7
UK-English,2143,1,6,7,12
UK-English,2144,1,3,4,8
UK-English,2145,0,11,8,5
UK-English,2146,1,12,0,5
UK-English,2147,5,11,7,2
UK-English,2149,0,5,2,3
UK-English,2150,0,8,4,11
UK-English,2153,1,8,5,3
UK-English,2155,0,8,5,3
UK-English,2156,0,3,11,3
UK-English,2158,0,3,12,1
UK-English,2159,4,5,1,3
UK-English,2161,0,10,6,5
UK-English,2162,2,11,4,1
UK-English,2163,0,7,11,0
UK-English,2164,0,11,0,3
UK-English,2165,1,8,7,6
UK-English,2167,1,3,8,1
UK-English,2168,1,7,3,11
UK-English,2169,1,11,3,3
UK-English,2170,3,6,6,2
UK-English,2171,3,10,4,1
UK-English,2172,1,10,3,6
UK-English,2173,0,6,3,3
UK-English,2175,2,9,3,3
UK-English,2176,1,6,11,4
UK-English,2177,2,12,10,3
UK-English,2178,2,10,9,4
UK-English,2179,2,4,3,2
UK-English,2180,0,4,4,0
UK-English,2181,5,9,2,0
UK-English,2182,2,6,10,2
UK-English,2183,2,5,6,7
UK-English,2185,1,11,8,6
UK-English,2186,2,2,7,1
UK-English,2187,0,6,12,1
UK-English,2188,0,10,6,6
UK-English,2189,0,8,0,3
UK-English,2190,3,4,10,6
UK-English,2191,1,5,3,3
UK-English,2192,1,4,8,1
UK-English,2193,0,10,5,2
UK-English,2195,4,8,3,3
UK-English,2196,6,5,3,5
UK-English,2197,0,4,2,3
UK-English,2198,4,12,11,1
UK-English,2199,0,6,2,3
UK-English,2201,0,11,4,9
UK-English,2202,1,7,10,4
UK-English,2203,3,6,6,5
UK-English,2204,3,10,4,3
UK-English,2205,0,5,0,7
UK-English,2206,2,4,3,0
UK-English,2207,3,6,1,6
UK-English,2209,5,6,11,2
UK-English,2210,1,8,12,2
UK-English,2211,3,9,3,2
UK-English,2212,2,8,2,3
UK-English,2213,1,12,3,9
UK-English,2214,1,11,1,9
UK-English,2215,2,3,4,5
UK-English,2216,0,12,3,6
UK-English,2217,0,8,10,7
UK-English,2219,5,9,7,0
UK-English,2220,0,10,2,3
UK-English,2221,0,7,7,3
UK-English,2222,1,5,6,6
UK-English,2223,2,4,8,8
UK-English,2225,1,11,5,3
UK-English,2226,0,7,2,5
UK-English,2227,2,12,5,2
UK-English,2228,3,10,2,2
UK-English,2229,0,7,6,3
UK-English,2230,0,12,2,8
UK-English,2232,0,8,0,6
UK-English,2233,0,8,2,5
UK-English,2234,0,8,1,11
UK-English,2235,0,9,4,2
UK-English,2236,1,12,9,2
UK-English,2237,1,0,4,7
UK-English,2238,4,3,11,3
UK-English,2239,1,8,2,3
UK-English,2240,2,10,9,3
UK-English,2243,2,8,1,2
UK-English,2246,0,0,4,3
UK-English,2247,1,5,4,2
UK-English,2249,3,9,0,1
UK-English,2250,2,9,1,2
UK-English,2251,3,7,3,1
UK-English,2253,0,6,1,8
UK-English,2254,3,3,7,0
UK-English,2255,3,12,3,0
UK-English,2256,1,12,9,2
UK-English,2257,1,6,3,1
UK-English,2258,0,7,5,5
UK-English,2260,1,12,6,1
UK-English,2261,2,10,6,1
UK-English,2262,0,2,9,6
UK-English,2263,1,12,6,3
UK-English,2264,4,11,0,2
UK-English,2265,0,12,6,2
UK-English,2266,1,5,8,2
UK-English,2267,1,12,7,2
UK-English,2269,1,12,3,4
UK-English,2270,0,5,7,1
UK-English,2271,0,1,3,5
UK-English,2272,2,1,11,7
UK-English,2273,0,11,8,2
UK-English,2274,0,5,2,3
UK-English,2275,0,5,8,7
UK-English,2276,0,2,8,6
UK-English,2277,0,11,9,0
UK-English,2278,1,7,4,4
UK-English,2279,0,12,10,3
UK-English,2280,2,12,5,7
UK-English,2281,2,6,0,2
UK-English,2282,2,11,1,1
UK-English,2283,1,9,6,2
UK-English,2284,2,8,7,3
UK-English,2285,4,2,0,5
UK-English,2287,1,6,4,3
UK-English,2288,1,3,3,5
UK-English,2289,1,10,8,5
UK-English,2290,2,8,7,3
UK-English,2291,0,2,8,1
UK-English,2292,2,7,2,2
UK-English,2293,1,11,2,2
UK-English,2294,0,8,1,3
UK-English,2296,3,11,3,2
UK-English,2298,0,10,11,2
UK-English,2299,4,12,3,4
UK-English,2300,2,5,4,8
UK-English,2301,0,10,6,2
UK-English,2302,1,3,6,5
UK-English,2303,1,12,9,3
UK-English,2304,1,12,7,2
UK-English,2305,0,10,0,8
UK-English,2306,5,12,1,5
UK-English,2307,2,6,2,4
UK-English,2308,1,12,1,5
UK-English,2309,1,4,7,2
UK-English,2310,0,1,12,8
UK-English,2311,0,12,2,4
UK-English,2312,0,11,3,10
UK-English,2313,0,12,3,8
UK-English,2314,0,10,8,5
UK-English,2315,0,10,1,5
UK-English,2316,3,6,2,5
UK-English,2317,2,5,5,4
UK-English,2318,1,11,1,1
UK-English,2319,2,9,4,2
UK-English,2320,2,10,4,2
UK-English,2321,2,11,0,5
UK-English,2322,4,11,10,0
UK-English,2323,1,11,6,1
UK-English,2324,1,5,8,4
UK-English,2325,1,10,5,0
UK-English,2326,0,4,9,5
UK-English,2327,1,8,10,3
UK-English,2328,1,9,4,2
UK-English,2329,0,5,7,4
UK-English,2330,2,12,2,6
UK-English,2331,1,6,3,9
UK-English,2332,3,7,1,1
UK-English,2333,2,3,4,3
UK-English,2334,1,6,3,9
UK-English,2335,1,11,5,8
UK-English,2336,1,6,6,4
UK-English,2337,2,10,2,8
UK-English,2338,1,10,3,6
UK-English,2339,1,12,1,9
UK-English,2340,1,7,1,4
UK-English,2342,2,12,6,4
UK-English,2343,4,10,0,7
UK-English,2344,6,4,4,1
UK-English,2345,0,10,8,1
UK-English,2346,3,11,9,4
UK-English,2347,3,7,5,2
UK-English,2349,2,12,0,4
UK-English,2350,3,5,5,8
UK-English,2352,1,7,1,2
UK-English,2353,2,8,3,1
UK-English,2354,1,2,10,8
UK-English,2355,3,6,2,3
UK-English,2356,2,9,4,2
UK-English,2357,2,5,1,1
UK-English,2358,2,6,3,9
UK-English,2359,0,5,1,8
UK-English,2360,4,11,2,2
UK-English,2361,2,8,0,10
UK-English,2362,3,9,0,7
UK-English,2363,1,5,3,2
UK-English,2364,2,6,9,1
UK-English,2365,0,5,6,3
UK-English,2366,5,12,6,1
UK-English,2367,1,12,11,3
UK-English,2368,2,11,3,4
UK-English,2369,2,12,4,3
UK-English,2370,3,9,12,1
UK-English,2371,0,11,3,0
UK-English,2372,1,2,8,5
UK-English,2373,0,3,7,8
UK-English,2374,0,12,7,3
UK-English,2375,2,2,4,4
UK-English,2376,3,6,3,8
UK-English,2377,0,8,2,7
UK-English,2378,4,11,5,2
UK-English,2379,0,2,4,7
UK-English,2381,1,6,0,2
UK-English,2382,3,12,4,6
UK-English,2383,0,10,5,4
UK-English,2384,0,0,12,8
UK-English,2385,0,7,5,4
UK-English,2387,2,7,6,6
UK-English,2388,0,5,1,6
UK-English,2390,2,3,1,3
UK-English,2391,4,6,10,3
UK-English,2392,2,4,3,1
UK-English,2393,0,6,6,3
UK-English,2394,2,12,5,4
UK-English,2395,0,10,4,2
UK-English,2396,0,10,4,1
UK-English,2397,5,10,2,1
UK-English,2398,4,8,3,5
UK-English,2399,0,6,2,10
UK-English,2400,1,6,9,1
UK-English,2401,1,5,3,2
UK-English,2404,0,4,1,5
UK-English,2405,7,12,5,0
UK-English,2406,0,8,9,4
UK-English,2407,2,1,8,0
UK-English,2408,0,7,3,2
UK-English,2409,1,12,0,3
UK-English,2410,1,1,5,7
UK-English,2411,2,10,0,4
UK-English,2412,3,11,0,2
UK-English,2413,3,6,4,2
UK-English,2414,1,7,3,6
UK-English,2415,0,4,8,3
UK-English,2416,1,7,6,3
UK-English,2417,0,9,8,2
UK-English,2418,1,11,8,3
UK-English,2419,2,8,3,0
UK-English,2420,3,7,2,2
UK-English,2421,3,11,5,4
UK-English,2422,0,11,5,3
UK-English,2423,1,11,7,3
UK-English,2424,3,11,4,2
UK-English,2425,0,11,0,3
UK-English,2426,5,8,3,2
UK-English,2427,1,10,3,0
UK-English,2428,1,4,12,4
UK-English,2431,3,12,8,5
UK-English,2432,1,8,4,4
UK-English,2433,3,6,2,5
UK-English,2435,2,7,9,1
UK-English,2436,4,10,6,2
UK-English,2437,1,11,2,0
UK-English,2438,3,7,4,7
UK-English,2439,6,7,9,4
UK-English,2440,4,7,1,3
UK-English,2441,0,10,12,5
UK-English,2442,2,3,10,1
UK-English,2443,0,5,0,0
UK-English,2444,0,10,7,6
UK-English,2445,0,9,12,1
UK-English,2446,2,5,6,7
UK-English,2449,2,3,4,4
UK-English,2450,1,12,4,4
UK-English,2451,1,3,5,2
UK-English,2452,0,1,9,2
UK-English,2453,4,4,12,4
UK-English,2454,5,4,11,6
UK-English,2457,3,10,10,3
UK-English,2458,1,11,4,4
UK-English,2459,3,11,8,6
UK-English,2460,3,10,7,5
UK-English,2461,3,5,4,1
UK-English,2462,4,11,6,3
UK-English,2463,3,8,5,1
UK-English,2464,3,4,0,0
UK-English,2465,4,9,1,2
UK-English,2466,1,11,9,4
UK-English,2467,0,9,9,0
UK-English,2468,0,6,4,1
UK-English,2469,2,8,2,3
UK-English,2470,0,5,12,8
UK-English,2472,3,9,8,1
UK-English,2473,2,6,11,2
UK-English,2474,0,5,3,4
UK-English,2475,0,12,3,3
UK-English,2476,3,12,1,3
UK-English,2477,1,8,9,4
UK-English,2478,2,12,1,2
UK-English,2479,2,8,5,1
UK-English,2480,1,7,9,5
UK-English,2481,2,7,8,1
UK-English,2482,4,7,6,3
UK-English,2483,2,7,3,6
UK-English,2485,1,5,4,3
UK-English,2486,1,8,4,4
UK-English,2487,5,8,7,0
UK-English,2488,2,5,4,6
UK-English,2489,0,6,9,9
UK-English,2490,1,11,2,7
UK-English,2491,2,8,3,3
UK-English,2492,1,12,3,2
UK-English,2493,2,9,5,0
UK-English,2494,4,12,3,2
UK-English,2495,1,2,4,1
UK-English,2496,6,6,5,5
UK-English,2498,2,10,6,0
UK-English,2499,1,7,7,2
UK-English,2500,0,5,4,1
UK-English,2501,1,6,3,1
UK-English,2502,1,9,12,0
UK-English,2504,1,12,4,4
UK-English,2505,4,8,1,8
UK-English,2506,0,8,1,8
UK-English,2507,2,12,5,1
UK-English,2508,2,5,6,4
UK-English,2509,0,11,4,2
UK-English,2510,2,12,3,2
UK-English,2511,1,0,5,1
UK-English,2512,0,3,4,10
UK-English,2513,2,10,6,4
UK-English,2514,1,12,0,3
UK-English,2515,2,9,4,7
UK-English,2516,1,7,7,8
UK-English,2517,0,3,5,8
UK-English,2518,0,7,5,9
UK-English,2521,1,7,8,4
UK-English,2522,1,6,10,10
UK-English,2523,1,2,7,3
UK-English,2524,0,4,4,9
UK-English,2526,2,2,4,5
UK-English,2527,1,11,4,8
UK-English,2528,0,8,1,8
UK-English,2529,4,12,1,3
UK-English,2530,3,6,3,4
UK-English,2531,0,4,2,3
UK-English,2532,4,10,6,0
UK-English,2533,2,11,6,3
UK-English,2534,0,11,4,8
UK-English,2535,1,0,1,9
UK-English,2536,0,1,4,5
UK-English,2537,1,8,4,6
UK-English,2538,0,11,4,10
UK-English,2539,1,3,0,9
UK-English,2540,0,1,2,5
UK-English,2543,2,2,3,3
UK-English,2545,1,5,6,6
UK-English,2546,0,2,10,5
UK-English,2547,2,1,5,9
UK-English,2548,2,9,0,11
UK-English,2549,0,4,3,7
UK-English,2550,1,10,0,12
UK-English,2551,0,5,1,3
UK-English,2552,0,1,0,12
UK-English,2553,0,3,5,11
UK-English,2554,0,7,8,3
UK-English,2555,0,12,11,11
UK-English,2556,1,6,1,9
UK-English,2557,2,9,1,8
UK-English,2559,2,2,4,11
UK-English,2561,1,7,0,6
UK-English,2563,1,3,0,6
UK-English,2564,1,12,2,8
UK-English,2566,4,2,5,9
UK-English,2567,0,3,7,4
UK-English,2568,3,4,1,11
UK-English,2570,1,12,4,2
UK-English,2571,0,2,1,10
UK-English,2572,0,10,7,7
UK-English,2573,2,9,0,11
UK-English,2575,2,2,10,6
UK-English,2576,1,8,5,8
UK-English,2578,0,5,8,10
UK-English,2579,0,4,1,6
UK-English,2580,3,5,5,10
UK-English,2581,0,7,2,3
UK-English,2582,0,8,1,11
UK-English,2583,1,9,4,4
UK-English,2585,1,11,5,2
UK-English,2586,2,1,12,1
UK-English,2587,1,8,10,5
UK-English,2588,3,8,7,6
UK-English,2589,1,8,2,8
UK-English,2590,2,10,1,12
UK-English,2591,0,7,3,6
UK-English,2592,2,8,2,2
UK-English,2593,0,10,11,3
UK-English,2594,1,4,9,5
UK-English,2595,1,11,9,0
UK-English,2596,0,6,9,3
UK-English,2597,0,1,5,7
UK-English,2598,5,4,0,3
UK-English,2599,2,6,0,6
UK-English,2600,2,7,0,9
UK-English,2601,2,6,4,7
UK-English,2602,2,9,3,1
UK-English,2603,2,9,12,4
UK-English,2604,1,3,7,5
UK-English,2606,0,6,2,3
UK-English,2607,1,5,6,4
UK-English,2609,1,10,2,2
UK-English,2610,0,10,5,3
UK-English,2611,1,12,5,3
UK-English,2612,3,12,6,0
UK-English,2613,0,12,4,3
UK-English,2614,3,12,4,1
UK-English,2615,4,8,2,0
UK-English,2616,0,12,6,1
UK-English,2617,0,11,7,2
UK-English,2618,1,11,4,0
UK-English,2619,0,11,4,1
UK-English,2620,1,12,5,6
UK-English,2621,0,9,5,2
UK-English,2622,0,7,5,9
UK-English,2623,0,11,4,6
UK-English,2624,0,5,11,2
UK-English,2625,0,12,0,0
UK-English,2626,0,2,10,1
UK-English,2628,0,2,6,4
UK-English,2629,0,9,5,7
UK-English,2630,1,11,8,3
UK-English,2631,3,9,8,3
UK-English,2632,0,10,5,3
UK-English,2633,2,10,10,0
UK-English,2634,1,12,7,4
UK-English,2635,1,7,7,1
UK-English,2636,2,10,4,4
UK-English,2637,0,7,6,3
UK-English,2638,2,12,3,0
UK-English,2639,2,12,3,2
UK-English,2640,4,10,3,0
UK-English,2642,5,10,2,0
UK-English,2643,1,7,8,1
UK-English,2644,0,10,0,1
UK-English,2645,1,11,2,6
UK-English,2646,1,3,2,1
UK-English,2647,4,11,5,3
UK-English,2648,0,6,2,1
UK-English,2649,0,8,6,5
UK-English,2650,4,9,3,2
UK-English,2651,4,9,4,0
UK-English,2652,1,12,3,4
UK-English,2653,1,5,3,1
UK-English,2654,2,12,0,3
UK-English,2655,1,6,10,3
UK-English,2657,1,11,3,1
UK-English,2658,0,11,4,1
UK-English,2659,5,12,1,1
UK-English,2660,1,7,6,2
UK-English,2661,1,7,7,0
UK-English,2662,2,4,0,5
UK-English,2664,1,10,7,2
UK-English,2665,0,12,0,8
UK-English,2666,1,8,0,5
UK-English,2667,1,11,6,0
UK-English,2668,0,5,9,4
UK-English,2669,4,5,5,4
UK-English,2670,1,12,4,3
UK-English,2671,0,9,2,1
UK-English,2673,1,10,1,3
UK-English,2674,0,8,2,5
UK-English,2675,0,6,5,4
UK-English,2676,0,12,9,6
UK-English,2677,0,3,12,0
UK-English,2678,1,6,5,4
UK-English,2679,0,6,2,1
UK-English,2680,1,5,9,4
UK-English,2681,2,11,1,1
UK-English,2682,0,9,6,2
UK-English,2683,1,9,6,3
UK-English,2684,1,9,6,2
UK-English,2685,1,10,3,10
UK-English,2686,0,3,5,3
UK-English,2687,1,7,6,1
UK-English,2688,2,12,3,3
UK-English,2689,1,2,7,6
UK-English,2690,1,12,8,6
UK-English,2691,3,7,2,7
UK-English,2692,2,10,9,5
UK-English,2693,2,11,6,5
UK-English,2695,1,6,1,9
UK-English,2696,1,8,2,1
UK-English,2698,0,12,3,6
UK-English,2700,0,1,7,1
UK-English,2701,3,12,10,3
UK-English,2702,0,11,2,3
UK-English,2705,3,12,5,1
UK-English,2706,0,9,7,5
UK-English,2707,3,10,5,4
UK-English,2709,2,5,6,2
UK-English,2710,1,11,6,1
UK-English,2711,1,4,8,4
UK-English,2712,0,7,3,10
UK-English,2713,2,3,9,3
UK-English,2714,1,5,7,6
UK-English,2715,1,9,6,1
UK-English,2717,3,11,7,0
UK-English,2718,1,5,7,1
UK-English,2719,2,12,2,0
UK-English,2720,2,8,1,6
UK-English,2721,1,5,11,1
UK-English,2722,1,7,6,0
UK-English,2723,3,8,2,1
UK-English,2724,5,7,10,2
UK-English,2725,2,7,5,2
UK-English,2726,3,9,4,3
UK-English,2727,3,10,2,2
UK-English,2728,2,1,3,8
UK-English,2729,1,8,12,4
UK-English,2730,6,7,2,1
UK-English,2731,0,8,10,1
UK-English,2733,4,10,2,2
UK-English,2734,2,12,0,2
UK-English,2735,0,5,5,3
UK-English,2736,1,3,10,1
UK-English,2737,3,12,3,2
UK-English,2738,2,10,10,4
UK-English,2740,1,3,8,3
UK-English,2742,4,7,9,0
UK-English,2743,0,3,10,5
UK-English,2744,3,12,0,1
UK-English,2747,1,9,6,3
UK-English,2748,0,6,10,1
UK-English,2749,1,5,6,3
UK-English,2750,1,9,1,8
UK-English,2751,2,8,9,2
UK-English,2752,1,4,1,6
UK-English,2753,1,11,9,2
UK-English,2754,0,11,8,1
UK-English,2755,1,6,8,1
UK-English,2756,0,11,9,2
UK-English,2757,0,4,1,4
UK-English,2758,1,11,1,1
UK-English,2759,0,7,6,5
UK-English,2760,3,10,4,3
UK-English,2761,1,4,4,5
UK-English,2762,1,2,9,3
UK-English,2763,0,2,11,0
UK-English,2764,2,12,5,0
UK-English,2765,2,4,0,0
UK-English,2766,0,6,4,3
UK-English,2767,4,8,12,1
UK-English,2768,3,8,7,5
UK-English,2769,3,1,6,2
UK-English,2770,1,3,5,0
UK-English,2771,2,2,8,2
UK-English,2772,1,3,3,5
UK-English,2773,1,5,4,6
UK-English,2775,4,6,2,4
UK-English,2776,2,11,10,2
UK-English,2778,0,11,2,10
UK-English,2779,3,4,3,2
UK-English,2780,0,12,4,3
UK-English,2781,1,8,10,1
UK-English,2782,4,9,7,1
UK-English,2783,2,8,6,6
UK-English,2785,1,2,5,4
UK-English,2786,0,9,1,2
UK-English,2787,4,7,4,5
UK-English,2788,4,8,3,2
UK-English,2789,2,5,0,4
UK-English,2790,2,8,6,1
UK-English,2791,4,2,1,3
UK-English,2792,3,10,9,0
UK-English,2793,0,5,7,0
UK-English,2794,1,10,3,2
UK-English,2795,2,8,2,3
UK-English,2796,2,12,8,0
UK-English,2797,2,8,9,4
UK-English,2798,2,11,0,3
UK-English,2799,2,9,5,5
UK-English,2800,3,8,6,9
UK-English,2801,7,11,0,4
UK-English,2802,1,11,3,10
UK-English,2803,3,8,5,3
UK-English,2804,3,7,1,4
UK-English,2805,4,6,2,1
UK-English,2806,2,4,4,3
UK-English,2807,3,12,7,6
UK-English,2808,4,12,3,1
UK-English,2809,0,10,4,8
UK-English,2810,6,9,3,0
UK-English,2812,4,3,5,2
UK-English,2813,3,10,4,5
UK-English,2814,2,10,2,5
UK-English,2815,3,0,1,4
UK-English,2816,3,4,9,1
UK-English,2819,0,5,1,2
UK-English,2820,1,12,6,12
UK-English,2821,0,12,5,2
UK-English,2822,2,12,3,3
UK-English,2823,1,5,3,10
UK-English,2824,4,11,0,3
UK-English,2825,0,9,7,4
UK-English,2826,1,6,10,2
UK-English,2827,2,12,5,1
UK-English,2829,4,6,6,0
UK-English,2830,3,8,5,4
UK-English,2831,2,6,5,9
UK-English,2832,1,8,3,1
UK-English,2833,0,12,9,1
UK-English,2834,5,11,1,1
UK-English,2835,5,11,3,0
UK-English,2836,0,10,0,5
UK-English,2837,1,12,1,9
UK-English,2838,2,9,6,2
UK-English,2839,2,5,8,0
UK-English,2840,3,4,9,0
UK-English,2841,0,4,5,0
UK-English,2843,2,7,11,0
UK-English,2844,5,11,0,9
UK-English,2845,1,12,1,2
UK-English,2846,0,11,4,5
UK-English,2849,2,4,1,9
UK-English,2850,3,8,5,8
UK-English,2853,1,11,5,4
UK-English,2854,1,10,12,7
UK-English,2855,1,7,8,1
UK-English,2857,2,9,7,3
UK-English,2858,2,10,7,8
UK-English,2860,4,8,4,2
UK-English,2861,1,7,12,5
UK-English,2862,2,12,4,6
UK-English,2863,1,12,4,10
UK-English,2864,2,11,4,10
UK-English,2865,3,5,4,6
UK-English,2867,2,9,7,0
UK-English,2868,1,11,2,5
UK-English,2869,3,2,5,3
UK-English,2872,3,7,4,2
UK-English,2873,2,8,3,5
UK-English,2874,1,4,6,2
UK-English,2875,5,4,3,0
UK-English,2877,0,5,0,6
UK-English,2878,4,5,6,3
UK-English,2879,0,4,2,3
UK-English,2880,5,6,2,6
UK-English,2881,2,11,0,6
UK-English,2883,1,12,6,1
UK-English,2884,4,4,9,1
UK-English,2885,2,4,9,2
UK-English,2886,0,9,2,0
UK-English,2887,0,9,5,6
UK-English,2888,1,9,6,2
UK-English,2890,7,4,7,5
UK-English,2891,0,5,3,3
UK-English,2893,5,6,8,4
UK-English,2894,3,9,6,0
UK-English,2895,1,11,2,0
UK-English,2896,1,7,9,5
UK-English,2897,0,3,4,1
UK-English,2898,1,1,2,3
UK-English,2899,2,6,0,1
UK-English,2900,5,12,2,0
UK-English,2901,1,7,1,1
UK-English,2902,3,12,8,3
UK-English,2903,2,11,3,2
UK-English,2904,0,12,7,10
UK-English,2905,0,6,7,4
UK-English,2907,1,12,7,5
UK-English,2908,1,0,4,3
UK-English,2909,0,8,3,5
UK-English,2910,1,1,8,1
UK-English,2911,1,7,0,2
UK-English,2913,1,10,4,3
UK-English,2914,2,12,2,0
UK-English,2915,4,8,5,0
UK-English,2916,1,6,9,2
UK-English,2917,4,0,11,3
UK-English,2918,3,6,8,0
UK-English,2920,1,10,7,5
UK-English,2921,0,8,2,1
UK-English,2922,3,12,4,1
UK-English,2923,1,2,10,0
UK-English,2924,0,4,10,0
UK-English,2925,4,11,0,3
UK-English,2926,0,12,4,2
UK-English,2927,0,8,10,1
UK-English,2928,1,11,0,2
UK-English,2929,0,9,6,6
UK-English,2930,0,9,1,3
UK-English,2931,0,2,3,0
UK-English,2932,5,12,0,5
UK-English,2933,3,8,7,0
UK-English,2935,1,11,3,1
UK-English,2936,3,8,4,9
UK-English,2937,3,8,5,5
UK-English,2938,0,7,5,6
UK-English,2939,3,11,0,10
UK-English,2940,1,3,0,5
UK-English,2941,2,5,12,1
UK-English,2942,2,3,2,0
UK-English,2944,2,4,1,3
UK-English,2945,2,3,3,2
UK-English,2946,1,7,1,1
UK-English,2947,3,9,1,4
UK-English,2948,0,8,12,2
UK-English,2950,0,3,3,6
UK-English,2951,4,10,1,8
UK-English,2952,1,12,3,5
UK-English,2953,3,8,5,1
UK-English,2955,1,11,0,0
UK-English,2956,1,4,11,0
UK-English,2958,0,12,0,6
UK-English,2959,1,9,1,7
UK-English,2960,0,7,0,8
UK-English,2961,0,11,5,0
UK-English,2962,0,11,1,2
UK-English,2964,0,10,8,11
UK-English,2965,1,7,8,8
UK-English,2966,1,5,7,3
